,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
75,SVO(셰레메티예보(모스크바)),890,79.1,1.35,19.55,18.0,20.9,0.0,대한항공,XCoLlJ59TfwrH
76,SYD(시드니),1196,95.23,0.08,4.68,5.0,4.85,0.0,대한항공,N7VGmB1P3hOEv
77,SYX(싼야),128,92.97,1.56,5.47,6.0,7.03,0.0,대한항공,7j87ht6w8gMOW
78,SZX(선전(심천)),1134,96.12,0.18,3.7,5.0,3.88,0.0,대한항공,nAURU1onvrmcB
79,TAE(대구),1989,85.44,12.39,2.17,7.0,15.94,0.55,대한항공,lnMfjNG62uVj9
80,TAO(청도),2297,92.54,0.48,6.98,7.0,7.44,0.17,대한항공,usVJYLvExig10
81,TAS(타슈켄트),518,90.93,0.77,8.3,9.0,9.07,0.0,대한항공,vvDwlJ9uzgef6
82,TNA(지난),867,94.57,0.23,5.2,5.0,5.42,0.12,대한항공,C4vwII9PEZPY8
83,TPE(타이완 타오위안 국제 공항),2496,95.67,0.08,4.25,4.0,4.33,0.04,대한항공,hN48oGRKSePFj
84,TSN(톈진),1664,93.09,0.12,6.79,7.0,6.91,0.0,대한항공,q93xhh4Mi0Ti0
85,ULN(보얀트 오하(울란바토르)),1169,85.37,0.43,14.2,16.0,14.63,0.0,대한항공,sbydrUnfMWswO
86,VIE(빈),607,88.94,0.17,10.89,9.0,11.04,0.16,대한항공,gYXlb8sQEOXGx
87,VTE(비엔티안),7,85.71,0.0,14.29,12.0,14.29,0.0,대한항공,RjAgyq3JdO3Fc
88,VVO(블라디보스톡),1157,95.07,0.17,4.75,5.0,4.93,0.0,대한항공,4VeAGrtiG0Z43
89,WEH(위해),1136,94.63,0.26,5.11,5.0,5.37,0.09,대한항공,5bNwcSFvHj6Np
90,WUH(우한),724,95.02,0.14,4.84,5.0,4.97,0.14,대한항공,HGximoNPjkTkH
91,XIY(시안),1160,94.22,0.34,5.43,5.0,5.78,0.0,대한항공,23xGusUtRBl5N
92,XMN(샤먼),1048,95.8,0.1,4.1,4.0,4.2,0.0,대한항공,1FrqRjNwPEjqu
93,YNJ(연길),1155,94.89,0.17,4.94,5.0,5.11,0.09,대한항공,HOOjo9gO8Eguy
94,YVR(밴쿠버),1424,95.37,0.21,4.42,4.0,4.63,0.0,대한항공,8H3Ho48QJ8Ayp
95,YYZ(토론토),1218,94.17,0.25,5.58,6.0,5.83,0.0,대한항공,H0aSVyHKRCuku
